id,username,created_at,lng,lat,text
1.51E+18,funkyslsistah,Thu Apr 14 00:01:36 +0000 2022,-122.4359785,37.7706565,Wordle 298 3/6⬛⬛⬛⬛⬛⬛🟨🟨⬛⬛🟩🟩🟩🟩🟩
1.51E+18,anro66,Thu Apr 14 00:03:00 +0000 2022,-58.540757,-34.4902185,🎃🎃🎃Wordle (ES)  #97 4/6⬜⬜⬜⬜🟩⬜🟩⬜🟩🟩🟩🟩⬜🟩🟩🟩🟩🟩🟩🟩 https://t.co/ZoEUr5yIsH
1.51E+18,jackoyall,Thu Apr 14 00:07:03 +0000 2022,-122.2329345,37.4972935,😂 I don’t but my Mom always asks for Help! @tbhfelisha
1.51E+18,LizOncRN,Thu Apr 14 00:08:30 +0000 2022,-76.620482,39.284713,"So you’re saying I shouldn’t start my day by sighing deeply, doing my Wordle, and calculating how long I can put of… https://t.co/juzbu0Ol5s"
1.51E+18,AsphodelLast,Thu Apr 14 00:09:04 +0000 2022,-1.0853245,53.9662065,Wordle 299 4/6*⬛⬛🟨⬛⬛🟩⬛🟩🟨⬛🟩🟨🟩⬛⬛🟩🟩🟩🟩🟩
1.51E+18,ccbolles,Thu Apr 14 00:10:44 +0000 2022,-84.266174,30.4762155,I'm loving the teamwork!  Wordle 298 3/6⬜⬜⬜🟨🟨⬜⬜⬜⬜⬜🟩🟩🟩🟩🟩
1.51E+18,comzine,Thu Apr 14 00:13:57 +0000 2022,103.795841,14.9453625,ChunkWordle 299 5/6⬛⬛🟨🟨⬛🟨⬛⬛🟨⬛🟨⬛⬛⬛⬛⬛🟩⬛⬛⬛🟩🟩🟩🟩🟩
1.51E+18,Stonedawg1980,Thu Apr 14 00:15:14 +0000 2022,-89.876449,32.571032,Wordle 298 4/6⬜⬜⬜🟨⬜⬜🟨⬜⬜⬜⬜🟩🟩🟨🟩🟩🟩🟩🟩🟩
1.51E+18,wandermole,Thu Apr 14 00:15:18 +0000 2022,124.4428495,8.57889,Wordle 299 5/6⬜⬜🟨🟨🟩🟨⬜🟨⬜🟩⬜🟩🟩⬜🟩⬜🟩🟩🟩🟩🟩🟩🟩🟩🟩 Grabe 😄
1.51E+18,SimonShanley,Thu Apr 14 00:17:56 +0000 2022,-3.022129,53.7998515,Wordle 299 3/6⬜⬜🟨⬜🟩⬜🟩⬜⬜🟩🟩🟩🟩🟩🟩
